




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (82)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
morphogenesis of a branching epithelium (GO:0061138)	165	5	.66	+	7.61	5.81E-04	3.31E-02
neural tube development (GO:0021915)	165	5	.66	+	7.61	5.81E-04	3.30E-02
ear development (GO:0043583)	232	7	.92	+	7.58	4.60E-05	4.54E-03
male sex differentiation (GO:0046661)	167	5	.67	+	7.52	6.12E-04	3.45E-02
inner ear development (GO:0048839)	204	6	.81	+	7.38	1.89E-04	1.41E-02
cellular modified amino acid metabolic process (GO:0006575)	172	5	.69	+	7.30	6.97E-04	3.77E-02
positive regulation of epithelial cell proliferation (GO:0050679)	209	6	.83	+	7.21	2.14E-04	1.53E-02
sex differentiation (GO:0007548)	282	8	1.12	+	7.12	1.98E-05	2.21E-03
forebrain development (GO:0030900)	388	11	1.55	+	7.12	4.95E-07	1.13E-04
pallium development (GO:0021543)	177	5	.70	+	7.09	7.90E-04	4.19E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	255	7	1.02	+	6.89	8.21E-05	7.19E-03
telencephalon development (GO:0021537)	259	7	1.03	+	6.79	9.02E-05	7.69E-03
skeletal system morphogenesis (GO:0048705)	228	6	.91	+	6.61	3.37E-04	2.17E-02
muscle organ development (GO:0007517)	304	8	1.21	+	6.61	3.33E-05	3.35E-03
muscle cell differentiation (GO:0042692)	268	7	1.07	+	6.56	1.11E-04	9.06E-03
muscle structure development (GO:0061061)	499	13	1.99	+	6.54	1.06E-07	2.98E-05
animal organ morphogenesis (GO:0009887)	1003	26	3.99	+	6.51	1.11E-14	5.82E-11
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	275	7	1.10	+	6.39	1.30E-04	1.03E-02
tissue morphogenesis (GO:0048729)	568	14	2.26	+	6.19	6.37E-08	1.85E-05
chordate embryonic development (GO:0043009)	655	16	2.61	+	6.13	7.24E-09	2.84E-06
gliogenesis (GO:0042063)	246	6	.98	+	6.12	5.00E-04	2.97E-02
epithelial cell differentiation (GO:0030855)	620	15	2.47	+	6.07	2.58E-08	8.42E-06
regulation of Wnt signaling pathway (GO:0030111)	332	8	1.32	+	6.05	6.10E-05	5.70E-03
morphogenesis of an epithelium (GO:0002009)	459	11	1.83	+	6.02	2.45E-06	4.12E-04
camera-type eye development (GO:0043010)	334	8	1.33	+	6.01	6.36E-05	5.87E-03
embryo development ending in birth or egg hatching (GO:0009792)	677	16	2.70	+	5.93	1.14E-08	4.07E-06
reproductive structure development (GO:0048608)	300	7	1.19	+	5.86	2.18E-04	1.56E-02
reproductive system development (GO:0061458)	304	7	1.21	+	5.78	2.36E-04	1.65E-02
urogenital system development (GO:0001655)	350	8	1.39	+	5.74	8.75E-05	7.54E-03
sensory system development (GO:0048880)	394	9	1.57	+	5.74	3.11E-05	3.16E-03
renal system development (GO:0072001)	308	7	1.23	+	5.71	2.55E-04	1.73E-02
embryo development (GO:0009790)	1059	24	4.22	+	5.69	2.51E-12	3.94E-09
epithelium development (GO:0060429)	1072	24	4.27	+	5.62	3.23E-12	4.22E-09
sensory organ development (GO:0007423)	582	13	2.32	+	5.61	5.91E-07	1.27E-04
epithelial tube morphogenesis (GO:0060562)	318	7	1.27	+	5.53	3.09E-04	2.03E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1259	27	5.01	+	5.38	2.59E-13	8.12E-10
skeletal system development (GO:0001501)	515	11	2.05	+	5.36	7.15E-06	1.01E-03
gland development (GO:0048732)	422	9	1.68	+	5.35	5.23E-05	5.06E-03
eye development (GO:0001654)	384	8	1.53	+	5.23	1.63E-04	1.25E-02
visual system development (GO:0150063)	388	8	1.55	+	5.18	1.75E-04	1.33E-02
tube development (GO:0035295)	885	18	3.52	+	5.11	1.18E-08	4.13E-06
heart development (GO:0007507)	555	11	2.21	+	4.98	1.42E-05	1.74E-03
blood vessel development (GO:0001568)	510	10	2.03	+	4.92	3.93E-05	3.92E-03
head development (GO:0060322)	823	16	3.28	+	4.88	1.60E-07	4.39E-05
brain development (GO:0007420)	775	15	3.09	+	4.86	4.35E-07	1.03E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	941	18	3.75	+	4.80	2.98E-08	9.35E-06
regulation of epithelial cell proliferation (GO:0050678)	369	7	1.47	+	4.76	7.35E-04	3.95E-02
cellular response to growth factor stimulus (GO:0071363)	477	9	1.90	+	4.74	1.31E-04	1.03E-02
vasculature development (GO:0001944)	532	10	2.12	+	4.72	5.56E-05	5.32E-03
positive regulation of cell differentiation (GO:0045597)	884	16	3.52	+	4.54	4.10E-07	9.89E-05
tube morphogenesis (GO:0035239)	673	12	2.68	+	4.48	1.58E-05	1.89E-03
response to growth factor (GO:0070848)	507	9	2.02	+	4.46	2.04E-04	1.48E-02
tissue development (GO:0009888)	1726	30	6.87	+	4.36	1.66E-12	2.89E-09
chemotaxis (GO:0006935)	518	9	2.06	+	4.36	2.39E-04	1.65E-02
taxis (GO:0042330)	520	9	2.07	+	4.35	2.46E-04	1.68E-02
locomotion (GO:0040011)	539	9	2.15	+	4.19	3.18E-04	2.09E-02
circulatory system development (GO:0072359)	909	15	3.62	+	4.14	3.06E-06	4.85E-04
positive regulation of nucleic acid-templated transcription (GO:1903508)	1715	28	6.83	+	4.10	5.15E-11	5.38E-08
positive regulation of DNA-templated transcription (GO:0045893)	1715	28	6.83	+	4.10	5.15E-11	5.05E-08
positive regulation of RNA biosynthetic process (GO:1902680)	1721	28	6.85	+	4.09	5.58E-11	4.86E-08
positive regulation of RNA metabolic process (GO:0051254)	1848	29	7.36	+	3.94	5.24E-11	4.83E-08
central nervous system development (GO:0007417)	1034	16	4.12	+	3.89	3.09E-06	4.84E-04
cell population proliferation (GO:0008283)	718	11	2.86	+	3.85	1.40E-04	1.09E-02
anatomical structure morphogenesis (GO:0009653)	2237	34	8.91	+	3.82	1.23E-12	2.41E-09
negative regulation of developmental process (GO:0051093)	923	14	3.68	+	3.81	1.74E-05	1.99E-03
negative regulation of DNA-templated transcription (GO:0045892)	1323	20	5.27	+	3.80	2.00E-07	5.22E-05
negative regulation of nucleic acid-templated transcription (GO:1903507)	1325	20	5.28	+	3.79	2.05E-07	5.26E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1327	20	5.29	+	3.78	2.10E-07	5.30E-05
neuron differentiation (GO:0030182)	1065	16	4.24	+	3.77	4.48E-06	6.76E-04
positive regulation of developmental process (GO:0051094)	1339	20	5.33	+	3.75	2.42E-07	5.92E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	1943	28	7.74	+	3.62	8.83E-10	4.62E-07
negative regulation of transcription by RNA polymerase II (GO:0000122)	974	14	3.88	+	3.61	3.12E-05	3.16E-03
positive regulation of cellular biosynthetic process (GO:0031328)	2048	29	8.16	+	3.56	5.86E-10	3.40E-07
generation of neurons (GO:0048699)	1134	16	4.52	+	3.54	9.79E-06	1.31E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2058	29	8.20	+	3.54	6.56E-10	3.67E-07
regulation of anatomical structure morphogenesis (GO:0022603)	924	13	3.68	+	3.53	7.68E-05	6.77E-03
neurogenesis (GO:0022008)	1290	18	5.14	+	3.50	2.85E-06	4.61E-04
negative regulation of RNA metabolic process (GO:0051253)	1435	20	5.72	+	3.50	7.15E-07	1.46E-04
positive regulation of biosynthetic process (GO:0009891)	2087	29	8.31	+	3.49	9.07E-10	4.59E-07
regulation of transcription by RNA polymerase II (GO:0006357)	2606	36	10.38	+	3.47	3.14E-12	4.47E-09
positive regulation of cell population proliferation (GO:0008284)	949	13	3.78	+	3.44	1.00E-04	8.27E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	1533	21	6.11	+	3.44	4.65E-07	1.09E-04
negative regulation of apoptotic process (GO:0043066)	898	12	3.58	+	3.36	2.39E-04	1.66E-02
regulation of response to external stimulus (GO:0032101)	973	13	3.88	+	3.35	1.28E-04	1.02E-02
negative regulation of cellular biosynthetic process (GO:0031327)	1594	21	6.35	+	3.31	8.74E-07	1.65E-04
negative regulation of programmed cell death (GO:0043069)	918	12	3.66	+	3.28	2.91E-04	1.93E-02
neuron development (GO:0048666)	843	11	3.36	+	3.28	5.39E-04	3.17E-02
negative regulation of biosynthetic process (GO:0009890)	1624	21	6.47	+	3.25	1.18E-06	2.12E-04
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1562	20	6.22	+	3.21	2.62E-06	4.33E-04
negative regulation of cell death (GO:0060548)	1022	13	4.07	+	3.19	2.07E-04	1.49E-02
negative regulation of multicellular organismal process (GO:0051241)	1039	13	4.14	+	3.14	2.42E-04	1.67E-02
animal organ development (GO:0048513)	3254	40	12.96	+	3.09	3.83E-12	4.61E-09
regulation of multicellular organismal development (GO:2000026)	1383	17	5.51	+	3.09	2.89E-05	2.96E-03
cell migration (GO:0016477)	903	11	3.60	+	3.06	9.44E-04	4.79E-02
regulation of cell differentiation (GO:0045595)	1581	19	6.30	+	3.02	1.21E-05	1.56E-03
nervous system development (GO:0007399)	2191	26	8.73	+	2.98	2.19E-07	5.46E-05
regulation of cell population proliferation (GO:0042127)	1674	19	6.67	+	2.85	2.68E-05	2.79E-03
positive regulation of gene expression (GO:0010628)	1151	13	4.58	+	2.84	6.36E-04	3.55E-02
positive regulation of multicellular organismal process (GO:0051240)	1515	17	6.03	+	2.82	8.92E-05	7.65E-03
cell differentiation (GO:0030154)	3519	39	14.02	+	2.78	2.09E-10	1.56E-07
cellular developmental process (GO:0048869)	3542	39	14.11	+	2.76	2.54E-10	1.81E-07
regulation of DNA-templated transcription (GO:0006355)	3454	38	13.76	+	2.76	5.24E-10	3.57E-07
regulation of nucleic acid-templated transcription (GO:1903506)	3456	38	13.76	+	2.76	5.33E-10	3.48E-07
regulation of RNA biosynthetic process (GO:2001141)	3465	38	13.80	+	2.75	5.75E-10	3.61E-07
regulation of developmental process (GO:0050793)	2489	27	9.91	+	2.72	7.05E-07	1.45E-04
system development (GO:0048731)	3838	41	15.29	+	2.68	1.59E-10	1.31E-07
positive regulation of cellular metabolic process (GO:0031325)	3122	33	12.43	+	2.65	3.84E-08	1.18E-05
positive regulation of nitrogen compound metabolic process (GO:0051173)	3174	33	12.64	+	2.61	5.75E-08	1.70E-05
regulation of RNA metabolic process (GO:0051252)	3752	39	14.94	+	2.61	1.42E-09	6.77E-07
regulation of cell death (GO:0010941)	1654	17	6.59	+	2.58	2.54E-04	1.73E-02
regulation of apoptotic process (GO:0042981)	1468	15	5.85	+	2.57	6.61E-04	3.66E-02
multicellular organism development (GO:0007275)	4228	43	16.84	+	2.55	1.94E-10	1.52E-07
regulation of programmed cell death (GO:0043067)	1498	15	5.97	+	2.51	8.12E-04	4.26E-02
regulation of macromolecule biosynthetic process (GO:0010556)	3938	39	15.68	+	2.49	5.88E-09	2.43E-06
positive regulation of macromolecule metabolic process (GO:0010604)	3542	35	14.11	+	2.48	6.49E-08	1.85E-05
cell development (GO:0048468)	1725	17	6.87	+	2.47	4.14E-04	2.62E-02
regulation of cellular biosynthetic process (GO:0031326)	4102	40	16.34	+	2.45	5.05E-09	2.14E-06
negative regulation of cellular metabolic process (GO:0031324)	2264	22	9.02	+	2.44	5.78E-05	5.43E-03
regulation of biosynthetic process (GO:0009889)	4163	40	16.58	+	2.41	7.83E-09	2.99E-06
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4067	39	16.20	+	2.41	1.49E-08	5.09E-06
regulation of gene expression (GO:0010468)	4855	45	19.34	+	2.33	1.38E-09	6.78E-07
anatomical structure development (GO:0048856)	5144	47	20.49	+	2.29	5.85E-10	3.53E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2409	22	9.59	+	2.29	1.79E-04	1.35E-02
